time,temp_c,wind_kph,wind_dir,pressure_mb,precip_mm
2024-07-21 12:00:00,26.5,10.1,ESE,1009.0,0.0
2024-07-21 13:00:00,27.3,9.7,SE,1009.0,0.0
2024-07-21 14:00:00,28.3,10.4,SE,1008.0,0.0
2024-07-21 15:00:00,28.1,11.9,SSE,1008.0,0.0
2024-07-21 16:00:00,27.7,11.2,SE,1008.0,0.0
2024-07-21 17:00:00,27.0,9.7,SE,1008.0,0.0
2024-07-21 18:00:00,25.5,8.6,SE,1008.0,0.0
2024-07-21 19:00:00,24.0,7.2,SE,1008.0,0.0
2024-07-21 20:00:00,23.5,5.8,SE,1009.0,0.0
2024-07-21 21:00:00,23.0,6.5,SE,1009.0,0.0
2024-07-21 22:00:00,21.3,6.8,SSE,1009.0,0.0
2024-07-21 23:00:00,18.8,5.8,S,1010.0,0.0
2024-07-22 00:00:00,17.3,3.2,SE,1011.0,0.0
2024-07-22 01:00:00,16.9,3.2,SSE,1011.0,0.0
2024-07-22 02:00:00,16.6,4.0,S,1011.0,0.0
2024-07-22 03:00:00,16.3,3.6,S,1011.0,0.0
2024-07-22 04:00:00,16.1,2.5,SSE,1011.0,0.0
2024-07-22 05:00:00,17.1,3.6,SSE,1012.0,0.0
2024-07-22 06:00:00,19.5,3.6,SSE,1012.0,0.0
2024-07-22 07:00:00,21.7,4.3,SE,1012.0,0.0
2024-07-22 08:00:00,23.9,4.7,SE,1012.0,0.0
2024-07-22 09:00:00,25.7,5.4,SE,1012.0,0.0
2024-07-22 10:00:00,27.2,5.8,SE,1012.0,0.0
2024-07-22 11:00:00,28.4,5.0,SE,1012.0,0.0
2024-07-22 12:00:00,29.2,4.0,SSE,1011.0,0.0
2024-07-22 13:00:00,29.8,3.6,S,1011.0,0.0
2024-07-22 14:00:00,30.8,5.0,SW,1011.0,0.0
2024-07-22 15:00:00,30.6,5.8,WSW,1011.0,0.0
2024-07-22 16:00:00,30.5,5.4,WSW,1011.0,0.0
2024-07-22 17:00:00,30.1,4.7,SW,1010.0,0.0
2024-07-22 18:00:00,28.0,5.0,SW,1011.0,0.0
2024-07-22 19:00:00,25.5,5.8,SSW,1011.0,0.0
2024-07-22 20:00:00,23.9,5.0,WNW,1012.0,0.0
2024-07-22 21:00:00,22.6,12.6,N,1013.0,0.0
2024-07-22 22:00:00,22.0,10.8,NNW,1014.0,0.0
2024-07-22 23:00:00,19.5,8.3,WNW,1015.0,0.0
2024-07-23 00:00:00,18.1,10.8,WSW,1016.0,0.85
2024-07-23 01:00:00,18.0,9.7,W,1016.0,1.2
2024-07-23 02:00:00,17.9,10.1,W,1016.0,0.43
2024-07-23 03:00:00,17.8,10.4,W,1016.0,0.18
2024-07-23 04:00:00,17.2,10.4,W,1017.0,0.02
2024-07-23 05:00:00,17.2,10.8,WNW,1017.0,0.02
2024-07-23 06:00:00,18.1,13.7,WNW,1017.0,0.05
2024-07-23 07:00:00,19.1,14.4,NW,1018.0,0.04
2024-07-23 08:00:00,20.1,12.6,NW,1018.0,0.04
2024-07-23 09:00:00,21.3,12.2,NW,1018.0,0.25
2024-07-23 10:00:00,22.6,11.2,NW,1017.0,0.13
2024-07-23 11:00:00,23.7,11.2,NW,1017.0,0.15
