time,temp_c,wind_kph,wind_dir,pressure_mb,precip_mm
2024-07-20 00:00,16.5,2.5,ESE,1018.0,0.0
2024-07-20 01:00,16.0,5.4,ENE,1017.0,0.0
2024-07-20 02:00,15.5,5.0,ENE,1017.0,0.0
2024-07-20 03:00,15.0,4.7,ENE,1017.0,0.0
2024-07-20 04:00,14.3,5.0,E,1017.0,0.0
2024-07-20 05:00,15.5,4.7,E,1016.0,0.0
2024-07-20 06:00,17.5,5.8,E,1016.0,0.0
2024-07-20 07:00,19.3,7.9,E,1016.0,0.0
2024-07-20 08:00,21.0,8.6,E,1016.0,0.0
2024-07-20 09:00,22.7,10.1,E,1015.0,0.0
2024-07-20 10:00,24.1,10.8,E,1015.0,0.0
2024-07-20 11:00,24.9,11.5,ESE,1014.0,0.0
2024-07-20 12:00,25.0,10.8,ESE,1014.0,0.0
2024-07-20 13:00,25.7,10.4,SE,1013.0,0.0
2024-07-20 14:00,26.6,9.4,SE,1013.0,0.0
2024-07-20 15:00,26.8,8.3,SE,1012.0,0.0
2024-07-20 16:00,26.7,7.9,ESE,1012.0,0.0
2024-07-20 17:00,26.2,5.8,ESE,1012.0,0.0
2024-07-20 18:00,25.1,2.5,E,1011.0,0.0
2024-07-20 19:00,23.1,5.4,NE,1011.0,0.0
2024-07-20 20:00,21.8,6.5,NE,1011.0,0.0
2024-07-20 21:00,21.5,4.7,E,1012.0,0.0
2024-07-20 22:00,21.3,2.9,E,1012.0,0.0
2024-07-20 23:00,20.2,2.9,E,1012.0,0.0
2024-07-21 00:00,18.6,4.7,E,1011.0,0.0
2024-07-21 01:00,18.5,4.0,E,1011.0,0.0
2024-07-21 02:00,18.5,3.2,SE,1010.0,0.0
2024-07-21 03:00,18.4,4.0,ESE,1010.0,0.0
2024-07-21 04:00,17.9,2.2,SSE,1010.0,0.0
2024-07-21 05:00,17.9,3.2,ENE,1010.0,0.0
2024-07-21 06:00,18.9,4.0,E,1010.0,0.0
2024-07-21 07:00,20.3,4.7,ESE,1010.0,0.0
2024-07-21 08:00,22.0,5.4,ESE,1010.0,0.0
2024-07-21 09:00,23.3,6.5,SE,1010.0,0.0
2024-07-21 10:00,24.6,8.3,SE,1010.0,0.0
2024-07-21 11:00,25.7,9.4,ESE,1010.0,0.0
2024-07-21 12:00,26.5,10.1,ESE,1009.0,0.0
2024-07-21 13:00,27.3,9.7,SE,1009.0,0.0
2024-07-21 14:00,28.3,10.4,SE,1008.0,0.0
2024-07-21 15:00,28.1,11.9,SSE,1008.0,0.0
2024-07-21 16:00,27.7,11.2,SE,1008.0,0.0
2024-07-21 17:00,27.0,9.7,SE,1008.0,0.0
2024-07-21 18:00,25.5,8.6,SE,1008.0,0.0
2024-07-21 19:00,24.0,7.2,SE,1008.0,0.0
2024-07-21 20:00,23.5,5.8,SE,1009.0,0.0
2024-07-21 21:00,23.0,6.5,SE,1009.0,0.0
2024-07-21 22:00,21.3,6.8,SSE,1009.0,0.0
2024-07-21 23:00,18.8,5.8,S,1010.0,0.0
2024-07-22 00:00,17.3,3.2,SE,1011.0,0.0
2024-07-22 01:00,16.9,3.2,SSE,1011.0,0.0
2024-07-22 02:00,16.6,4.0,S,1011.0,0.0
2024-07-22 03:00,16.3,3.6,S,1011.0,0.0
2024-07-22 04:00,16.1,2.5,SSE,1011.0,0.0
2024-07-22 05:00,17.1,3.6,SSE,1012.0,0.0
2024-07-22 06:00,19.5,3.6,SSE,1012.0,0.0
2024-07-22 07:00,21.7,4.3,SE,1012.0,0.0
2024-07-22 08:00,23.9,4.7,SE,1012.0,0.0
2024-07-22 09:00,25.7,5.4,SE,1012.0,0.0
2024-07-22 10:00,27.2,5.8,SE,1012.0,0.0
2024-07-22 11:00,28.4,5.0,SE,1012.0,0.0
2024-07-22 12:00,29.2,4.0,SSE,1011.0,0.0
2024-07-22 13:00,29.8,3.6,S,1011.0,0.0
2024-07-22 14:00,30.8,5.0,SW,1011.0,0.0
2024-07-22 15:00,30.6,5.8,WSW,1011.0,0.0
2024-07-22 16:00,30.5,5.4,WSW,1011.0,0.0
2024-07-22 17:00,30.1,4.7,SW,1010.0,0.0
2024-07-22 18:00,28.0,5.0,SW,1011.0,0.0
2024-07-22 19:00,25.5,5.8,SSW,1011.0,0.0
2024-07-22 20:00,23.9,5.0,WNW,1012.0,0.0
2024-07-22 21:00,22.6,12.6,N,1013.0,0.0
2024-07-22 22:00,22.0,10.8,NNW,1014.0,0.0
2024-07-22 23:00,19.5,8.3,WNW,1015.0,0.0
