time,temp_c,wind_kph,wind_degree,pressure_mb,precip_mm,snow_cm,humidity,cloud,feelslike_c,is_day
2024-08-04 16:00:00,22.7,11.5,215,1010.0,0.0,0.0,59,32,24.8,1
2024-08-04 17:00:00,21.9,10.4,219,1010.0,0.28,0.0,65,71,21.9,1
2024-08-04 18:00:00,20.7,6.8,246,1011.0,0.37,0.0,75,100,20.7,1
2024-08-04 19:00:00,18.5,5.8,247,1011.0,0.64,0.0,88,80,18.5,1
2024-08-04 20:00:00,18.1,7.6,212,1011.0,0.53,0.0,90,67,18.1,1
2024-08-04 21:00:00,17.7,13.3,249,1011.0,0.56,0.0,91,53,17.7,0
2024-08-04 22:00:00,16.2,14.0,270,1012.0,0.01,0.0,95,76,16.2,0
2024-08-04 23:00:00,15.2,10.4,266,1012.0,0.0,0.0,95,52,15.2,0
2024-08-05 00:00:00,15.9,9.7,253,1012.0,0.0,0.0,90,100,15.9,0
2024-08-05 01:00:00,15.4,9.4,250,1012.0,0.0,0.0,90,100,15.4,0
2024-08-05 02:00:00,15.4,9.0,249,1012.0,0.0,0.0,90,81,15.4,0
2024-08-05 03:00:00,14.3,8.6,251,1012.0,0.0,0.0,92,85,14.0,0
2024-08-05 04:00:00,14.2,8.6,258,1012.0,0.03,0.0,92,100,13.8,0
2024-08-05 05:00:00,14.8,10.1,268,1012.0,0.38,0.0,92,100,14.3,0
2024-08-05 06:00:00,14.7,11.2,259,1012.0,1.87,0.0,95,100,14.1,1
2024-08-05 07:00:00,14.6,14.8,267,1012.0,4.69,0.0,97,100,13.6,1
2024-08-05 08:00:00,14.7,11.2,265,1012.0,0.74,0.0,96,91,14.2,1
2024-08-05 09:00:00,14.8,11.9,263,1013.0,1.18,0.0,93,60,14.1,1
2024-08-05 10:00:00,14.8,14.8,271,1013.0,0.93,0.0,91,100,13.8,1
2024-08-05 11:00:00,14.9,14.4,263,1013.0,0.26,0.0,90,100,14.1,1
2024-08-05 12:00:00,15.3,15.1,249,1012.0,0.2,0.0,85,79,15.3,1
2024-08-05 13:00:00,17.8,16.2,255,1012.0,0.1,0.0,71,84,17.8,1
2024-08-05 14:00:00,20.2,15.8,305,1011.0,0.19,0.0,58,82,20.2,1
2024-08-05 15:00:00,19.5,14.8,342,1011.0,0.0,0.0,57,19,19.5,1
2024-08-05 16:00:00,20.9,15.1,331,1011.0,0.0,0.0,48,18,20.9,1
2024-08-05 17:00:00,19.9,12.6,322,1011.0,0.0,0.0,53,21,19.9,1
2024-08-05 18:00:00,18.7,11.5,324,1012.0,0.0,0.0,55,17,18.7,1
2024-08-05 19:00:00,16.3,10.1,310,1012.0,0.0,0.0,62,24,16.3,1
2024-08-05 20:00:00,15.5,8.6,302,1013.0,0.0,0.0,64,30,15.5,1
2024-08-05 21:00:00,14.5,6.1,303,1013.0,0.01,0.0,69,84,14.7,0
2024-08-05 22:00:00,13.9,4.3,311,1014.0,0.06,0.0,76,100,14.4,0
2024-08-05 23:00:00,14.1,4.3,239,1014.0,0.19,0.0,76,66,14.6,0
2024-08-06 00:00:00,13.3,15.5,282,1013.0,0.06,0.0,89,100,12.0,0
2024-08-06 01:00:00,13.1,12.6,295,1014.0,0.12,0.0,90,96,12.0,0
2024-08-06 02:00:00,12.5,9.0,280,1014.0,0.33,0.0,93,91,11.7,0
2024-08-06 03:00:00,12.4,8.6,267,1014.0,0.21,0.0,94,77,11.8,0
2024-08-06 04:00:00,12.6,10.4,266,1014.0,0.15,0.0,93,90,11.7,0
2024-08-06 05:00:00,12.3,11.2,264,1015.0,0.04,0.0,93,84,11.2,0
2024-08-06 06:00:00,12.8,11.9,267,1015.0,0.0,0.0,91,84,11.7,1
2024-08-06 07:00:00,13.9,13.0,272,1015.0,0.0,0.0,86,60,12.9,1
2024-08-06 08:00:00,15.7,13.3,277,1015.0,0.0,0.0,79,70,15.7,1
2024-08-06 09:00:00,17.5,11.5,282,1015.0,0.0,0.0,69,62,17.5,1
2024-08-06 10:00:00,19.3,10.4,283,1015.0,0.0,0.0,58,54,19.3,1
2024-08-06 11:00:00,20.6,10.8,282,1015.0,0.0,0.0,51,39,20.6,1
2024-08-06 12:00:00,21.5,10.4,283,1014.0,0.0,0.0,47,21,21.5,1
2024-08-06 13:00:00,22.3,9.0,295,1014.0,0.0,0.0,44,9,24.3,1
2024-08-06 14:00:00,23.3,7.9,296,1013.0,0.0,0.0,43,12,24.6,1
2024-08-06 15:00:00,23.9,6.8,297,1013.0,0.0,0.0,42,19,24.8,1
